code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
gt,3989089865,4160561630,4307699952,4718699494,4937316476,5152670837,5436691407,5660257704,6156437883,6448062749,6816110666,7196705549,7724443678,8248379902,8774216592,8945313004,9606127040,10356290699,10873762420,11386292444,11814414541,11890837106,11471079977,11176033300,11231544416,11163106241,11179075019,11575259560,12025813478,12499941930,12887760529,13359226869,14005591526,14555609587,15142745251,15892091190,16362144271,17076202966,17928907904,18618644149,19290566570,19740527581,20503822394,21022740913,21685384121,22392362924,23597025901,25084585160,25907634307,26043918245,26801786950,27838549513
hn,1502038539,1529911259,1618108290,1676043632,1766828975,1926499597,2030026643,2151372356,2293323844,2308355180,2392072782,2487636175,2630981360,2838035708,2803194801,2862921961,3163548606,3492047989,3841451879,4020633361,4047510519,4150042145,4092306081,4054478752,4230673875,4407864388,4439719001,4707495771,4924504391,5137531200,5142508463,5309744577,5608380316,5957784205,5880138960,6119047603,6339042644,6655596595,6848714415,6719305567,7105541205,7299040640,7573072090,7917422408,8410861673,8919792791,9505547333,10093784782,10520914743,10296774094,10582329897,10942129113
is,1775037087,1773534306,1920980854,2118522670,2328606903,2500265500,2718687031,2684234147,2537274841,2597524666,2791210652,3155766144,3350708373,3578757910,3782972292,3807416159,4034314081,4390232454,4654380211,4880610196,5161143800,5381266949,5497209911,5378956036,5601059491,5785493496,6148275293,6673703195,6667715146,6684947179,6763118968,6748001672,6520331239,6605972495,6844372657,6852352080,7180241405,7533020281,8008865740,8336761572,8697298234,9038371651,9050931398,9271268441,9997746575,10720581749,11225410811,11897251672,12048292689,11228149348,10776345915,11105155830
in,81042654922,84059664307,86523560442,91710088309,98545195448,95947770642,95894683921,1.03399E+11,1.06902E+11,1.13894E+11,1.19767E+11,1.21735E+11,1.21061E+11,1.25051E+11,1.26533E+11,1.38111E+11,1.40408E+11,1.50594E+11,1.59197E+11,1.50858E+11,1.61019E+11,1.70691E+11,1.76623E+11,1.89497E+11,1.96737E+11,2.07075E+11,2.16966E+11,2.25569E+11,2.47286E+11,2.61993E+11,2.76491E+11,2.79413E+11,2.94731E+11,3.08733E+11,3.29292E+11,3.54234E+11,3.80977E+11,3.96406E+11,4.20921E+11,4.56544E+11,4.74692E+11,4.98161E+11,5.17627E+11,5.58748E+11,6.02603E+11,6.58553E+11,7.19562E+11,7.90088E+11,8.2083E+11,8.88452E+11,9.73325E+11,1.04006E+12
id,18448917543,19575208346,19949028314,19499569412,20172590380,20363640993,20944091970,21179712360,23728516741,25502789513,27581801389,29511800441,31838126471,34950673891,37836507705,40176101277,42581905063,46259476457,50517919166,54100964303,58821272859,63614142518,64316489536,69751173550,74753833727,77353427295,81967185137,86311448524,91797126913,1.00137E+11,1.09151E+11,1.18895E+11,1.2748E+11,1.36728E+11,1.47037E+11,1.59383E+11,1.71564E+11,1.79627E+11,1.56048E+11,1.57283E+11,1.65021E+11,1.71033E+11,1.78729E+11,1.87273E+11,1.96694E+11,2.07891E+11,2.19327E+11,2.33244E+11,2.4727E+11,2.58716E+11,2.74745E+11,2.92485E+11
il,12313161088,13692713599,15083361632,16696634703,18021878652,19660782112,19645123302,20233498694,23519814853,26710443176,28662263303,31879397099,36234390201,37445540316,40006912003,41334478728,41878380069,41875043567,43894054771,46652707737,49858351835,52424989128,53373271440,55247111456,55746409835,57668447133,60431592244,64775226074,66086368112,66660749912,71217325346,76700617160,81017170729,85519191328,91447232751,97416800093,1.02765E+11,1.0623E+11,1.10604E+11,1.14315E+11,1.24895E+11,1.24616E+11,1.23899E+11,1.25773E+11,1.31865E+11,1.3838E+11,1.46121E+11,1.54153E+11,1.60363E+11,1.61706E+11,1.69542E+11,1.77521E+11
it,2.93541E+11,3.17632E+11,3.37337E+11,3.56261E+11,3.66228E+11,3.78196E+11,4.00831E+11,4.29605E+11,4.5772E+11,4.85632E+11,5.11422E+11,5.2072E+11,5.39937E+11,5.78412E+11,6.10226E+11,5.97471E+11,6.40043E+11,6.56432E+11,6.77701E+11,7.18086E+11,7.42717E+11,7.48987E+11,7.52085E+11,7.60878E+11,7.85423E+11,8.074E+11,8.30491E+11,8.57E+11,8.92946E+11,9.23202E+11,9.42152E+11,9.56602E+11,9.63996E+11,9.55775E+11,9.76334E+11,1.00452E+12,1.01592E+12,1.03487E+12,1.04986E+12,1.0651E+12,1.10401E+12,1.12457E+12,1.12965E+12,1.12912E+12,1.14866E+12,1.15936E+12,1.18486E+12,1.2048E+12,1.19087E+12,1.12544E+12,1.14574E+12,1.15068E+12
jp,7.19165E+11,8.05778E+11,8.77565E+11,9.51926E+11,1.06308E+12,1.12495E+12,1.24463E+12,1.38256E+12,1.56067E+12,1.7554E+12,1.73743E+12,1.81907E+12,1.97212E+12,2.13053E+12,2.10443E+12,2.16949E+12,2.25573E+12,2.35476E+12,2.4789E+12,2.61485E+12,2.68852E+12,2.80082E+12,2.89539E+12,2.98401E+12,3.11721E+12,3.31464E+12,3.40848E+12,3.54848E+12,3.80208E+12,4.00626E+12,4.2295E+12,4.3701E+12,4.4059E+12,4.41343E+12,4.45155E+12,4.53801E+12,4.65646E+12,4.73076E+12,4.63599E+12,4.62675E+12,4.7312E+12,4.74802E+12,4.76176E+12,4.84201E+12,4.95631E+12,5.02088E+12,5.10588E+12,5.21781E+12,5.16346E+12,4.87807E+12,5.09442E+12,5.05876E+12
ke,2116484537,1949773813,2134170916,2321515701,2436766588,2485723523,2851834963,2947691754,3182996848,3436338712,3276361787,4002858709,4686644220,4962995955,5164772379,5210336166,5322564957,5825749488,6228454046,6702764900,7077581918,7344657600,7455303270,7552896935,7685466665,8015984910,8591336667,9101413556,9665990968,10119359658,10543568372,10695221450,10609713799,10647187018,10927504510,11408994019,11882106663,11938535016,12331338333,12615623601,12691278914,13170997390,13243024245,13631372692,14327158818,15173416248,16133989515,17262285409,17526052449,17989578441,18988282813,19842755539
kp,28928298962,30356298714,31102566019,34067175844,36643076469,38544903391,43440106074,46089969105,51482408205,58741465078,63643234642,68889189755,71967189142,80627951049,86418752518,91558614219,1.01239E+11,1.11357E+11,1.21708E+11,1.29963E+11,1.28029E+11,1.3592E+11,1.45876E+11,1.61594E+11,1.74687E+11,1.8657E+11,2.06381E+11,2.29298E+11,2.53698E+11,2.70809E+11,2.95602E+11,3.23368E+11,3.42368E+11,3.63368E+11,3.94387E+11,4.30549E+11,4.60681E+11,4.82107E+11,4.49061E+11,4.91661E+11,5.33384E+11,5.54578E+11,5.9423E+11,6.10885E+11,6.39102E+11,6.64392E+11,6.98799E+11,7.34479E+11,7.5136E+11,7.5376E+11,8.014E+11,8.30523E+11
